,precision,recall,f1-score,support
Normal,1.0,0.9980237154150198,0.9990108803165183,506.0
BACnet Fuzzing,0.9999690023403233,1.0,0.9999845009299443,64519.0
Tampering,0.9971830985915493,0.9971830985915493,0.9971830985915493,355.0
Flooding,1.0,0.96,0.9795918367346939,25.0
accuracy,0.9999541319470988,0.9999541319470988,0.9999541319470988,0.9999541319470988
macro avg,0.9992880252329681,0.9888017035016423,0.9939425791431764,65405.0
weighted avg,0.9999541328949669,0.9999541319470988,0.9999539686087853,65405.0
