,precision,recall,f1-score,support
Normal,0.9002362542955327,0.996967354462746,0.9461358313817331,16817.0
Unauthorized Subscribe,0.9839481836102506,0.6549203373945642,0.7864055818140896,5335.0
Large Payload,1.0,0.6216216216216216,0.7666666666666667,37.0
Connection Overflow,1.0,0.5909090909090909,0.7428571428571429,22.0
accuracy,0.9137814596371168,0.9137814596371168,0.9137814596371168,0.9137814596371168
macro avg,0.9710461094764458,0.7161046010970057,0.8105163056799081,22211.0
weighted avg,0.9206085564832138,0.9137814596371168,0.9072689018564808,22211.0
