,Normal,UID brute force,Enumeration Function,Fuzzing Read Holding Registers
Normal,2166,0,0,0
UID brute force,0,81661,0,3
Enumeration Function,0,0,203,0
Fuzzing Read Holding Registers,0,699,0,1418
