,Normal,Connection Overflow,Large Payload,Unauthorized Subscribe,Attack
Normal,28471,17727,36,18,0
Connection Overflow,6063,37401,5,7,0
Large Payload,343,37,369,7,0
Unauthorized Subscribe,486,27,0,104,0
Attack,0,69,0,0,0
