,precision,recall,f1-score,support
Normal,0.9633181214256831,0.9916156270440626,0.977262072198781,16817.0
Unauthorized Subscribe,0.9103538094204472,0.7861293345829429,0.8436934218467109,5335.0
Large Payload,0.6245833333333334,0.8160043549265106,0.7075761151758319,1837.0
Connection Overflow,0.9728331177231565,0.6823956442831216,0.8021333333333333,1102.0
accuracy,0.9214857917181459,0.9214857917181459,0.9214857917181459,0.9214857917181459
macro avg,0.867772095475655,0.8190362402091593,0.8326662356386643,25091.0
weighted avg,0.9276744689465566,0.9214857917181459,0.9214255681571256,25091.0
