,precision,recall,f1-score,support
Normal,0.9864400757934628,0.9906047451983112,0.9885180240320428,16817.0
Unauthorized Subscribe,0.9044289044289044,0.8727272727272727,0.8882953353047792,5335.0
Large Payload,0.7448441247002399,0.8454001088731627,0.791942886282509,1837.0
Connection Overflow,0.9185567010309278,0.808529945553539,0.86003861003861,1102.0
accuracy,0.9469132358216094,0.9469132358216094,0.9469132358216094,0.9469132358216094
macro avg,0.8885674514883837,0.8793155180880714,0.8821987139144852,25091.0
weighted avg,0.9483328325438322,0.9469132358216094,0.9471732834227962,25091.0
