,precision,recall,f1-score,support
Normal,0.9918931807343825,0.9894749360765892,0.9906825826809156,16817.0
Unauthorized Subscribe,0.8850680397204854,0.9021555763823805,0.8935301216002969,5335.0
Large Payload,0.7524557956777996,0.833968426782798,0.7911179963852312,1837.0
Connection Overflow,0.995243757431629,0.7595281306715064,0.8615542974781266,1102.0
accuracy,0.9494240962895062,0.9494240962895062,0.9494240962895062,0.9494240962895062
macro avg,0.906165193391074,0.8712817674783185,0.8842212495361426,25091.0
weighted avg,0.9517964819922949,0.9494240962895062,0.949743285913798,25091.0
