,precision,recall,f1-score,support
Normal,0.998810302777943,0.9984539454123803,0.9986320923040324,16817.0
Unauthorized Subscribe,0.9932810750279956,0.9975632614807872,0.9954175628916114,5335.0
Large Payload,0.9259259259259259,0.6756756756756757,0.7812500000000001,37.0
Connection Overflow,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
accuracy,0.9973436585475666,0.9973436585475666,0.9973436585475666,0.9973436585475666
macro avg,0.9628376592662995,0.8270141297331198,0.8830141029881002,22211.0
weighted avg,0.9972959339824238,0.9973436585475666,0.9972582726105222,22211.0
