,Normal,UID brute force,Enumeration Function,Fuzzing Read Holding Registers
Normal,966,666,57,488
UID brute force,4926,76395,0,456
Enumeration Function,39,50,0,93
Fuzzing Read Holding Registers,695,659,0,660
