,precision,recall,f1-score,support
Normal,0.8639876352395672,0.9972052090146876,0.9258288017224722,16817.0
Unauthorized Subscribe,0.9804560260586319,0.5077788191190253,0.6690540874289949,5335.0
Large Payload,1.0,0.7027027027027027,0.8253968253968255,37.0
Connection Overflow,0.9166666666666666,0.5,0.6470588235294118,22.0
accuracy,0.8786637251812165,0.8786637251812165,0.8786637251812165,0.8786637251812165
macro avg,0.9402775819912165,0.6769216827091039,0.766834634519426,22211.0
weighted avg,0.8922416652790631,0.8786637251812165,0.8637090401898982,22211.0
