,precision,recall,f1-score,support
Normal,0.9892453951277481,0.9900101088184575,0.9896276042440634,16817.0
Unauthorized Subscribe,0.9646926956846628,0.9679475164011246,0.9663173652694611,5335.0
Large Payload,0.8571428571428571,0.6486486486486487,0.7384615384615384,37.0
Connection Overflow,0.0,0.0,0.0,22.0
accuracy,0.9831614965557607,0.9831614965557607,0.9831614965557607,0.9831614965557607
macro avg,0.702770236988817,0.6516515684670577,0.6736016269937657,22211.0
weighted avg,0.9821480179665618,0.9831614965557607,0.9826299419750604,22211.0
