,precision,recall,f1-score,support
Normal,0.99430011399772,0.9854314086935839,0.9898458965476048,16817.0
Unauthorized Subscribe,0.9529518619436875,0.9833177132146205,0.9678966789667898,5335.0
Large Payload,1.0,0.6486486486486487,0.7868852459016393,37.0
Connection Overflow,0.8666666666666667,0.5909090909090909,0.7027027027027029,22.0
accuracy,0.9839719058124353,0.9839719058124353,0.9839719058124353,0.9839719058124353
macro avg,0.9534796606520185,0.802076715366486,0.8618326310296842,22211.0
weighted avg,0.9842514910285847,0.9839719058124353,0.9839512601002528,22211.0
