,Normal,UID brute force,Enumeration Function,Fuzzing Read Holding Registers
Normal,2088,91,0,0
UID brute force,1,81695,0,31
Enumeration Function,0,0,198,0
Fuzzing Read Holding Registers,0,684,0,1362
