,precision,recall,f1-score,support
Normal,1.0,0.9996260855368833,0.9998130078088993,189883.0
KissOfDeath,1.0,1.0,1.0,104.0
TimeSkimming,0.702928870292887,1.0,0.8255528255528255,168.0
accuracy,0.9996266203886304,0.9996266203886304,0.9996266203886304,0.9996266203886304
macro avg,0.900976290097629,0.9998753618456279,0.941788611120575,190155.0
weighted avg,0.9997375406915895,0.9996266203886304,0.9996591529881943,190155.0
