,precision,recall,f1-score,support
Normal,0.9991870653057537,0.6577867633941844,0.7933161216293745,16817.0
Unauthorized Subscribe,0.5016949152542373,0.9986879100281162,0.6678784080225635,5335.0
Large Payload,0.3055555555555556,0.5945945945945946,0.4036697247706422,37.0
Connection Overflow,0.024553571428571428,0.5,0.04680851063829788,22.0
accuracy,0.7394084012426275,0.7394084012426275,0.7394084012426275,0.7394084012426275
macro avg,0.4577477768860295,0.6877673170042238,0.4779181912652195,22211.0
weighted avg,0.877570437362352,0.7394084012426275,0.7617979420688903,22211.0
