,precision,recall,f1-score,support
Normal,1.0,1.0,1.0,189883.0
KissOfDeath,1.0,1.0,1.0,104.0
TimeSkimming,1.0,1.0,1.0,168.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,190155.0
weighted avg,1.0,1.0,1.0,190155.0
