,precision,recall,f1-score,support
Normal,0.9917675833681322,0.9885829815068086,0.990172721858249,16817.0
Unauthorized Subscribe,0.9610844706750277,0.9767572633552015,0.9688574881472529,5335.0
Large Payload,1.0,0.5675675675675675,0.7241379310344828,37.0
Connection Overflow,1.0,0.22727272727272727,0.37037037037037035,22.0
accuracy,0.9842870649678087,0.9842870649678087,0.9842870649678087,0.9842870649678087
macro avg,0.9882130135107899,0.6900451349255762,0.7633846278525888,22211.0
weighted avg,0.9844194813629801,0.9842870649678087,0.9839957955225875,22211.0
