,precision,recall,f1-score,support
Normal,0.9999408424041647,0.9999408424041647,0.9999408424041647,16904.0
Unauthorized Subscribe,0.9998092331171309,1.0,0.9999046074596967,5241.0
Large Payload,1.0,0.9791666666666666,0.9894736842105264,48.0
Connection Overflow,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
accuracy,0.9998649317905542,0.9998649317905542,0.9998649317905542,0.9998649317905542
macro avg,0.986048629991435,0.9808879883788189,0.983440894629708,22211.0
weighted avg,0.9998649403794014,0.9998649317905542,0.9998646969761998,22211.0
