,precision,recall,f1-score,support
Normal,0.9999789348401944,1.0,0.9999894673091608,189883.0
KissOfDeath,1.0,1.0,1.0,104.0
TimeSkimming,1.0,0.9761904761904762,0.9879518072289156,168.0
accuracy,0.9999789645289369,0.9999789645289369,0.9999789645289369,0.9999789645289369
macro avg,0.9999929782800647,0.9920634920634921,0.9959804248460254,190155.0
weighted avg,0.9999789649720524,0.9999789645289369,0.9999788379200117,190155.0
