,precision,recall,f1-score,support
Normal,0.9867815413666942,0.9943509543913897,0.9905517874596451,16817.0
Unauthorized Subscribe,0.8624977473418634,0.8970946579194002,0.8794560823226755,5335.0
Large Payload,0.7443214909726267,0.6956995100707676,0.7191896454698932,1837.0
Connection Overflow,0.9886234357224118,0.7885662431941923,0.8773346794548208,1102.0
accuracy,0.9427683233031764,0.9427683233031764,0.9427683233031764,0.9427683233031764
macro avg,0.8955560538508991,0.8439278413939374,0.8666330486767586,25091.0
weighted avg,0.9426851169070721,0.9427683233031764,0.942090064341307,25091.0
