,precision,recall,f1-score,support
Normal,0.9901290360944283,0.9901290360944283,0.9901290360944283,16817.0
Unauthorized Subscribe,0.9662061239731142,0.9700093720712277,0.9681040127209803,5335.0
Large Payload,1.0,0.6756756756756757,0.8064516129032258,37.0
Connection Overflow,1.0,0.5909090909090909,0.7428571428571429,22.0
accuracy,0.9843771104407726,0.9843771104407726,0.9843771104407726,0.9843771104407726
macro avg,0.9890837900168856,0.8066807936876057,0.8768854511439443,22211.0
weighted avg,0.984409061789049,0.9843771104407726,0.9842878067032871,22211.0
