,precision,recall,f1-score,support
Normal,0.9989312433202707,1.0,0.9994653359472464,16824.0
Unauthorized Subscribe,0.9996248358656913,1.0,0.9998123827392121,5329.0
Large Payload,1.0,0.6153846153846154,0.761904761904762,39.0
Connection Overflow,1.0,0.7368421052631579,0.8484848484848484,19.0
accuracy,0.9990995452703615,0.9990995452703615,0.9990995452703615,0.9990995452703615
macro avg,0.9996390197964905,0.8380566801619433,0.9024168322690171,22211.0
weighted avg,0.9991004451824999,0.9990995452703615,0.9990023185551858,22211.0
