,precision,recall,f1-score,support
Normal,0.9930372148859544,0.9837664268299935,0.9883800818472385,16817.0
Unauthorized Subscribe,0.946729479978257,0.979381443298969,0.962778699097107,5335.0
Large Payload,0.9523809523809523,0.5405405405405406,0.6896551724137931,37.0
Connection Overflow,0.9090909090909091,0.45454545454545453,0.6060606060606061,22.0
accuracy,0.9814506325694475,0.9814506325694475,0.9814506325694475,0.9814506325694475
macro avg,0.9503096390840182,0.7395584663037394,0.8117186398546862,22211.0
weighted avg,0.9817633926279408,0.9814506325694475,0.9813544086633073,22211.0
